Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,05/12/2025,CLARK CO PARKS AND REC 7024558132 NV         05/10,-2,DEBIT_CARD,41687.07,
DEBIT,05/05/2025,H-E-B #497 KATY TX                           05/03,-2,DEBIT_CARD,50025.66,
DEBIT,04/28/2025,CLARK CO PARKS AND REC 7024558132 NV         04/26,-2,DEBIT_CARD,50926.51,
DEBIT,04/21/2025,CLARK CO PARKS AND REC 7024558132 NV         04/19,-2,DEBIT_CARD,49573.47,
DEBIT,04/21/2025,CLARK CO PARKS AND REC 7024558132 NV         04/18,-2,DEBIT_CARD,49652.97,
DEBIT,03/31/2025,CLARK CO PARKS AND REC 7024558132 NV         03/29,-2,DEBIT_CARD,47625.76,
DEBIT,03/17/2025,CLARK CO PARKS AND REC 7024558132 NV         03/15,-2,DEBIT_CARD,48606.53,
DEBIT,03/10/2025,CLARK CO PARKS AND REC 7024558132 NV         03/08,-2,DEBIT_CARD,45473.81,
DEBIT,03/03/2025,CLARK CO PARKS AND REC 7024558132 NV         03/01,-2,DEBIT_CARD,47268.19,
DEBIT,02/24/2025,CLARK CO PARKS AND REC 7024558132 NV         02/22,-2,DEBIT_CARD,43398.77,
DEBIT,02/18/2025,CLARK CO PARKS AND REC 7024558132 NV         02/15,-2,DEBIT_CARD,43488.14,
DEBIT,02/18/2025,SDOT PAYBYPHONE PARKING 2066845260 WA        02/13,-2,DEBIT_CARD,51032.29,
DEBIT,02/10/2025,CLARK CO PARKS AND REC 7024558132 NV         02/08,-2,DEBIT_CARD,48055.1,
DEBIT,08/04/2025,PBC- AUBURN WA1016 TACOMA WA                 08/02,-2.1,DEBIT_CARD,22550.65,
DEBIT,08/01/2025,PBC- AUBURN WA1016 TACOMA WA                 07/31,-2.1,DEBIT_CARD,25428.97,
DEBIT,07/14/2025,CPI*SKYTOP VENDING LL 702-387-8789 NV        07/11,-2.1,DEBIT_CARD,18226.33,
DEBIT,11/12/2024,PBC- AUBURN WA1016 TACOMA WA                 11/10,-2.1,DEBIT_CARD,37310.6,
DEBIT,05/13/2026,SAFEWAY #1600 BELLEVUE WA                    05/12,-2.12,DEBIT_CARD,13973.33,
DEBIT,03/30/2026,LOWE'S #0004 SEATTLE WA              590756  03/28,-2.19,DEBIT_CARD,11569.59,
DEBIT,09/15/2025,DAIRY QUEEN #15435 LAS VEGAS NV              09/14,-2.32,DEBIT_CARD,24369.07,
DEBIT,08/18/2025,CTLP*CANTEEN VENDING S CHARLOTTE NC          08/17,-2.35,DEBIT_CARD,24368.06,
DEBIT,01/29/2026,KRISPY KREME #4070 LAS VEGAS NV              01/28,-2.37,DEBIT_CARD,12969.17,
DEBIT,07/02/2025,TACO BELL 031915 LAS VEGAS NV                07/01,-2.48,DEBIT_CARD,15870.08,
DEBIT,01/02/2026,TST* HOUSTON HOT CHICKE LAS VEGAS NV         01/02,-2.49,DEBIT_CARD,13904.02,
DEBIT,06/01/2026,SDOT PAYBYPHONE PARKING 2066842489 WA        05/29,-2.5,DEBIT_CARD,21030.64,
DEBIT,04/23/2025,DOLLAR TREE LAS VEGAS NV                     04/22,-2.5,DEBIT_CARD,49513.99,
DEBIT,12/09/2024,DOLLARTREE SEATTLE WA                        12/08,-2.5,DEBIT_CARD,43374.21,
DEBIT,09/02/2025,7-ELEVEN PUYALLUP WA                 817761  08/30,-2.52,DEBIT_CARD,20664.29,
DEBIT,11/21/2024,SAFEWAY #1965 SEATTLE WA                     11/20,-2.53,DEBIT_CARD,38097.24,
DEBIT,08/01/2025,Nyx*NAYAX COPY SERVICE HUNT VALLEY MD        07/31,-2.55,DEBIT_CARD,25467.22,
DEBIT,02/21/2025,SMITHS FOOD #436 10600 LAS VEGAS NV  645307  02/21,-2.58,DEBIT_CARD,43426.39,
DEBIT,06/30/2025,CTLP*First Class Vendi BELLGARDENS CA        06/29,-2.6,DEBIT_CARD,16416.49,
DEBIT,08/29/2025,DOLLARTREE SEATTLE WA                        08/28,-2.63,DEBIT_CARD,22024.3,
DEBIT,04/06/2026,WALGREENS STORE 2400 S SEATTLE WA    010239  04/04,-2.69,DEBIT_CARD,9686.93,
DEBIT,12/29/2025,CIRCLE K # 09555 LAS VEGAS NV                12/26,-2.69,DEBIT_CARD,10812.55,
DEBIT,09/15/2025,WALGREENS STORE 4905 W LAS VEGAS NV  110559  09/12,-2.69,DEBIT_CARD,24560.79,
DEBIT,05/27/2025,SMITHS FOOD #436 10600 LAS VEGAS NV  162034  05/26,-2.69,DEBIT_CARD,13552.46,
DEBIT,04/17/2025,WALGREENS STORE 10510 LAS VEGAS NV   941684  04/17,-2.69,DEBIT_CARD,48234.08,
DEBIT,12/11/2024,ARCO#07013ARCO #07013 SEATTLE WA     355703  12/10,-2.69,DEBIT_CARD,43344.38,
DEBIT,12/03/2024,RITE AID 05217 SEATTLE WA                    12/02,-2.69,DEBIT_CARD,38224.03,
DEBIT,12/22/2025,Skala Industries LLC Las Vegas NV            12/21,-2.71,DEBIT_CARD,11356.91,
DEBIT,06/23/2025,WM SUPERCENTER #4356 702-270-6003 NV         06/22,-2.71,DEBIT_CARD,17195.81,
DEBIT,05/05/2025,DOLLAR TREE KATY TX                          05/04,-2.71,DEBIT_CARD,49935.04,
DEBIT,11/18/2024,SAFEWAY #1664 BURIEN WA                      11/16,-2.74,DEBIT_CARD,38254.75,
DEBIT,07/14/2025,CPI*SKYTOP VENDING LL 702-387-8789 NV        07/11,-2.85,DEBIT_CARD,18223.48,
DEBIT,05/22/2025,CPI*SKYTOP VENDING LL 702-387-8789 NV        05/21,-2.85,DEBIT_CARD,11210,
DEBIT,10/10/2025,TACO BELL 031915 LAS VEGAS NV                10/09,-2.92,DEBIT_CARD,26769.83,
DEBIT,06/27/2025,TACO BELL 031915 LAS VEGAS NV                06/26,-2.92,DEBIT_CARD,16584.24,
DEBIT,08/04/2025,DAVES HOT CHICKEN 1205 SEATTLE WA            08/03,-2.97,DEBIT_CARD,22511.68,
DEBIT,03/23/2026,EAST AFRICAN IMPORTS SEATTLE WA              03/21,-2.99,DEBIT_CARD,10804.93,
DEBIT,03/12/2026,WALGREENS STORE 2400 S SEATTLE WA    143565  03/12,-2.99,DEBIT_CARD,11098.46,
DEBIT,08/12/2025,WHOLEFDS WES#105 4755 SEATTLE WA     241629  08/12,-2.99,DEBIT_CARD,22015.31,
DEBIT,01/02/2025,WHOLEFDS LVB 102 6689 LAS VEGAS NV   326315  01/02,-2.99,DEBIT_CARD,44718.76,
DEBIT,06/11/2026,ORCA 8889886722 WA                           06/10,-3,DEBIT_CARD,18040.16,
DEBIT,06/11/2026,ORCA 8889886722 WA                           06/10,-3,DEBIT_CARD,18043.16,
DEBIT,05/08/2026,ORCA*00R7QY9 2063985346 WA                   05/07,-3,DEBIT_CARD,14477.04,
DEBIT,03/02/2026,CTLP*CSC SERVICEWORKS MELVILLE NY            02/27,-3,DEBIT_CARD,14989.79,
DEBIT,02/17/2026,CTLP*CSC SERVICEWORKS MELVILLE NY            02/15,-3,DEBIT_CARD,15114.01,
DEBIT,01/12/2026,ORCA 8889886722 WA                           01/11,-3,DEBIT_CARD,13797.45,
DEBIT,01/12/2026,ORCA 8889886722 WA                           01/10,-3,DEBIT_CARD,13844.38,
DEBIT,09/29/2025,ORCA 8889886722 WA                           09/27,-3,DEBIT_CARD,24135.38,
DEBIT,09/22/2025,ORCA 8889886722 WA                           09/19,-3,DEBIT_CARD,22657.26,
DEBIT,08/18/2025,ORCA 8889886722 WA                           08/17,-3,DEBIT_CARD,24365.06,
DEBIT,07/28/2025,ORCA 8889886722 WA                           07/26,-3,DEBIT_CARD,19698.48,
DEBIT,11/12/2024,ORCA 8889886722 WA                           11/10,-3,DEBIT_CARD,37390.87,
DEBIT,07/31/2025,ARCO#07013ARCO #07013 SEATTLE WA     493586  07/31,-3.08,DEBIT_CARD,19300.99,
DEBIT,11/21/2025,CTLP*FIRST CLASS VENDI BELLGARDENS CA        11/19,-3.1,DEBIT_CARD,14416.59,
DEBIT,11/21/2025,CTLP*FIRST CLASS VENDI BELLGARDENS CA        11/19,-3.1,DEBIT_CARD,14419.69,
DEBIT,09/18/2025,CTLP*FIRST CLASS VENDI BELLGARDENS CA        09/16,-3.1,DEBIT_CARD,23358.55,
DEBIT,09/18/2025,CTLP*FIRST CLASS VENDI BELLGARDENS CA        09/16,-3.1,DEBIT_CARD,23361.65,
DEBIT,09/15/2025,CTLP*FIRST CLASS VENDI BELLGARDENS CA        09/14,-3.1,DEBIT_CARD,24383.08,
DEBIT,09/15/2025,CTLP*FIRST CLASS VENDI BELLGARDENS CA        09/14,-3.1,DEBIT_CARD,24386.18,
DEBIT,07/24/2025,CTLP*FIRST CLASS VENDI BELLGARDENS CA        07/23,-3.1,DEBIT_CARD,19959.42,
DEBIT,07/24/2025,CTLP*FIRST CLASS VENDI BELLGARDENS CA        07/23,-3.1,DEBIT_CARD,19962.52,
DEBIT,07/17/2025,CTLP*FIRST CLASS VENDI BELLGARDENS CA        07/16,-3.1,DEBIT_CARD,17665.17,
DEBIT,07/17/2025,CTLP*FIRST CLASS VENDI BELLGARDENS CA        07/16,-3.1,DEBIT_CARD,17668.27,
DEBIT,07/09/2025,CTLP*First Class Vendi BELLGARDENS CA        07/08,-3.1,DEBIT_CARD,18326.19,
DEBIT,07/09/2025,CTLP*First Class Vendi BELLGARDENS CA        07/08,-3.1,DEBIT_CARD,18329.29,
DEBIT,11/03/2025,TST*WSKY 1 - WARM SPRIN Las Vegas NV         11/01,-3.17,DEBIT_CARD,26229.91,
DEBIT,11/03/2025,TST*WSKY 1 - WARM SPRIN Las Vegas NV         11/01,-3.17,DEBIT_CARD,26233.08,
DEBIT,11/25/2025,WALGREENS STORE 10510 LAS VEGAS NV   208173  11/24,-3.24,DEBIT_CARD,13601.41,
DEBIT,01/30/2026,SMITHS FOOD #436 10600 LAS VEGAS NV  713043  01/30,-3.29,DEBIT_CARD,15635.97,
DEBIT,06/30/2025,CTLP*First Class Vendi BELLGARDENS CA        06/29,-3.35,DEBIT_CARD,16419.09,
DEBIT,09/23/2025,SAFEWAY #1508 SEATTLE WA                     09/22,-3.38,DEBIT_CARD,22312.34,
DEBIT,10/14/2025,7-ELEVEN LAS VEGAS NV                723683  10/11,-3.39,DEBIT_CARD,26440.37,
DEBIT,08/04/2025,DAIRY QUEEN OLO #14180 olo.com WA            08/01,-3.4,DEBIT_CARD,22579.91,
DEBIT,04/13/2026,GDP*BELLTOWN TOBACCO SEATTLE WA      176723  04/12,-3.5,DEBIT_CARD,11790.98,
DEBIT,04/13/2026,SDOT PAYBYPHONE PARKING 2066842489 WA        04/10,-3.5,DEBIT_CARD,12196.71,
DEBIT,08/04/2025,SQ *DARAARTU Federal Way WA                  08/02,-3.5,DEBIT_CARD,22514.65,
DEBIT,07/16/2025,SHADE APARTMENTS LAS VEGAS NV                07/15,-3.5,DEBIT_CARD,17671.37,
DEBIT,12/09/2024,SAFEWAY #1965 SEATTLE WA                     12/07,-3.53,DEBIT_CARD,43399.03,
DEBIT,11/15/2024,SAFEWAY #1965 SEATTLE WA                     11/14,-3.54,DEBIT_CARD,38334.35,
DEBIT,02/10/2025,CTLP*InReach NORTHBETHESDA MD                02/09,-3.55,DEBIT_CARD,48012.92,
DEBIT,09/29/2025,Amazon.com*779WB2NB3 Amzn.com/bill WA        09/27,-3.57,DEBIT_CARD,24196.34,
DEBIT,12/09/2024,DAIRY QUEEN #12533 BURIEN WA                 12/06,-3.63,DEBIT_CARD,43402.56,
DEBIT,03/16/2026,ARCO#82481BP ARCO AM P SEATTLE WA    177953  03/14,-3.64,DEBIT_CARD,11761.24,
DEBIT,10/29/2025,SMITHS FOOD #436 10600 LAS VEGAS NV  883386  10/28,-3.69,DEBIT_CARD,25639.21,
DEBIT,02/21/2025,SMITHS FOOD #436 10600 LAS VEGAS NV  753393  02/21,-3.69,DEBIT_CARD,43422.7,
DEBIT,08/28/2025,CTLP*VOLUME SERVICES NORTHBETHESDA MD        08/27,-3.75,DEBIT_CARD,19481.93,
DEBIT,07/28/2025,DOLLAR TREE LAS VEGAS NV             003775  07/26,-3.75,DEBIT_CARD,19718.47,
DEBIT,12/29/2025,WALGREENS STORE 10510 LAS VEGAS NV   399570  12/28,-3.78,DEBIT_CARD,10717.05,
DEBIT,10/09/2025,SPEEDEE MART 115 LAS VEGAS NV        451233  10/09,-3.79,DEBIT_CARD,24082.74,
DEBIT,10/20/2025,ARCO 218206 SAN DIEGO CA             632154  10/19,-3.84,DEBIT_CARD,24957.1,
DEBIT,08/26/2025,SAFEWAY #0219 SEATTLE WA                     08/25,-3.85,DEBIT_CARD,19595.41,
DEBIT,12/09/2024,DOLLARTREE SEATTLE WA                        12/08,-3.88,DEBIT_CARD,43364.24,
DEBIT,06/02/2025,DAIRY QUEEN #15435 LAS VEGAS NV              05/30,-3.89,DEBIT_CARD,16010.14,
DEBIT,04/22/2025,DAIRY QUEEN #15435 LAS VEGAS NV              04/21,-3.89,DEBIT_CARD,49516.49,
DEBIT,10/06/2025,SMITHS FOOD #436 10600 LAS VEGAS NV  454887  10/04,-3.99,DEBIT_CARD,24660.29,
DEBIT,02/02/2026,85C BAKERY CAFE-ENTERPR LAS VEGAS NV         01/30,-4,DEBIT_CARD,19716.5,
DEBIT,02/21/2025,CIRCLE K DEALER # 0200 LAS VEGAS NV  570474  02/21,-4,DEBIT_CARD,43418.7,
DEBIT,12/22/2025,CIRCLE K # 09555 LAS VEGAS NV                12/19,-4.1,DEBIT_CARD,11458.27,
DEBIT,04/07/2026,PARNELLS MINI MART SEATTLE WA                04/06,-4.18,DEBIT_CARD,9442.77,
DEBIT,09/22/2025,SAFEWAY #1664 BURIEN WA                      09/19,-4.18,DEBIT_CARD,22629.98,
DEBIT,09/17/2025,DOLLAR TREE LAS VEGAS NV             018426  09/17,-4.23,DEBIT_CARD,23372.1,
DEBIT,11/03/2025,TERRIBLES #395 FUEL LAS VEGAS NV     429855  11/01,-4.29,DEBIT_CARD,26225.62,
DEBIT,04/24/2026,CTLP*CANTEEN VENDING S CHARLOTTE NC          04/23,-4.3,DEBIT_CARD,11549.57,
DEBIT,09/29/2025,SPEEDEE MART 115 LAS VEGAS NV        333050  09/28,-4.32,DEBIT_CARD,24125.59,
DEBIT,08/28/2025,TST* CONE & STEINER - P SEATTLE WA           08/28,-4.4,DEBIT_CARD,19435.22,
DEBIT,04/07/2025,COSTCO WHSE #0001 SEATTLE WA         834628  04/06,-4.4,DEBIT_CARD,46449.59,
DEBIT,02/17/2026,PY *JUBA TUKWILA WA                          02/15,-4.41,DEBIT_CARD,15154.16,
DEBIT,08/13/2025,PCC - COLUMBIA CITY SEATTLE WA       998615  08/12,-4.41,DEBIT_CARD,22000.97,
DEBIT,05/26/2026,TARGET        00027862 SEATTLE WA            05/25,-4.43,DEBIT_CARD,16661.85,
DEBIT,03/23/2026,APPLE CASH SENT MONEY 877-233-8552 CA        03/21,-4.5,DEBIT_CARD,10939.51,
DEBIT,08/18/2025,SAFEWAY #1508 SEATTLE WA                     08/16,-4.58,DEBIT_CARD,24414.72,
DEBIT,11/17/2025,MCDONALD'S F31454 LAS VEGAS NV               11/14,-4.65,DEBIT_CARD,28431.07,
DEBIT,11/10/2025,MCDONALD'S F31454 LAS VEGAS NV               11/08,-4.65,DEBIT_CARD,28937.43,
DEBIT,10/27/2025,McDonalds 38459 LAS VEGAS NC                 10/26,-4.65,DEBIT_CARD,26460.97,
DEBIT,01/20/2026,7-ELEVEN LAS VEGAS NV                760191  01/18,-4.68,DEBIT_CARD,16120.68,
DEBIT,11/24/2025,TST*FOUNDERS COFFEE - D Las Vegas NV         11/21,-4.71,DEBIT_CARD,14246.72,
DEBIT,09/02/2025,BELA WHOLESALE SEATTLE WA                    08/31,-4.75,DEBIT_CARD,20646.53,
DEBIT,05/28/2026,POTBELLY #407 SEATTLE WA                     05/27,-4.84,DEBIT_CARD,16443.84,
DEBIT,08/11/2025,SAFEWAY #1508 SEATTLE WA                     08/10,-4.85,DEBIT_CARD,22023.79,
DEBIT,06/25/2025,TACO BELL 031915 LAS VEGAS NV                06/24,-4.97,DEBIT_CARD,16738.14,
DEBIT,10/24/2025,WALGREENS #7841 LAS VEGAS NV                 10/23,-4.98,DEBIT_CARD,26542.3,
DEBIT,06/08/2026,SQ *MUSLIM ASSOCIATION Seattle WA            06/05,-5,DEBIT_CARD,18477.05,
DEBIT,06/01/2026,SAFEWAY #1600 BELLEVUE WA                    05/30,-5,DEBIT_CARD,20777.76,
DEBIT,05/29/2026,SDOT PAYBYPHONE PARKING 2066842489 WA        05/27,-5,DEBIT_CARD,17711.91,
DEBIT,03/23/2026,CASH APP*HANIF MOHAMED Oakland CA            03/21,-5,DEBIT_CARD,10914.51,
DEBIT,12/04/2024,APPLE CASH SENT MONE 1INFINITELOOP CA        12/03,-5,DEBIT_CARD,38202.19,
DEBIT,12/19/2025,DAVES HOT CHICKEN 1257 LAS VEGAS NV          12/18,-5.08,DEBIT_CARD,11450.37,
DEBIT,04/27/2026,SAFEWAY #1993 SEATTLE WA                     04/26,-5.13,DEBIT_CARD,11277.33,
DEBIT,12/09/2024,SAFEWAY #1965 SEATTLE WA                     12/07,-5.16,DEBIT_CARD,43393.87,
DEBIT,05/29/2026,SAFEWAY #1993 SEATTLE WA                     05/28,-5.19,DEBIT_CARD,17638.84,
DEBIT,11/28/2025,SMITHS FOOD #436 10600 LAS VEGAS NV  019704  11/27,-5.28,DEBIT_CARD,13020.74,
DEBIT,02/09/2026,HUDSON ST1374 LAS VEGAS NV                   02/07,-5.29,DEBIT_CARD,15866.8,
DEBIT,08/01/2025,DOLLARTREE SEATTLE WA                057071  08/01,-5.34,DEBIT_CARD,22174.31,
DEBIT,01/21/2025,ROCKET 5625 LOS ANGELES CA           782164  01/20,-5.38,DEBIT_CARD,44216.35,
DEBIT,02/17/2026,SAFEWAY #1508 SEATTLE WA                     02/15,-5.39,DEBIT_CARD,15117.01,
DEBIT,10/27/2025,MCDONALD'S F32190 LAS VEGAS NV               10/25,-5.42,DEBIT_CARD,26377.27,
DEBIT,04/16/2025,Subway 29654 HENDERSON NV                    04/16,-5.42,DEBIT_CARD,48236.77,
DEBIT,09/29/2025,WAL-MART #2483 LAS VEGAS NV                  09/28,-5.47,DEBIT_CARD,24129.91,
DEBIT,08/11/2025,PCC - COLUMBIA CITY SEATTLE WA       927382  08/10,-5.49,DEBIT_CARD,22018.3,
DEBIT,02/24/2025,SMITHS-FOOD #431 8050 LAS VEGAS NV   029038  02/23,-5.49,DEBIT_CARD,43345.05,
DEBIT,05/11/2026,SDOT PAYBYPHONE PARKING 2066842489 WA        05/08,-5.5,DEBIT_CARD,14447.3,
DEBIT,05/11/2026,SDOT PAYBYPHONE PARKING 2066842489 WA        05/08,-5.5,DEBIT_CARD,14452.8,
DEBIT,09/26/2025,SAFEWAY #1664 BURIEN WA                      09/25,-5.5,DEBIT_CARD,24316.81,
DEBIT,05/26/2026,TST* HOUSTON HOT CHIC 206-823-2768 WA        05/25,-5.52,DEBIT_CARD,16666.28,
DEBIT,09/25/2025,BAMOBILE BROOKS35STONE SEATTLE WA            09/24,-5.52,DEBIT_CARD,21847.32,
DEBIT,03/23/2026,GOODWILL - SEATTLE. SEATTLE WA               03/22,-5.53,DEBIT_CARD,10650.78,
DEBIT,06/30/2025,TACO BELL 031915 LAS VEGAS NV                06/28,-5.67,DEBIT_CARD,16422.44,
DEBIT,02/02/2026,SPEEDEE MART 115 LAS VEGAS NV        072539  02/01,-5.68,DEBIT_CARD,18018.51,
DEBIT,01/30/2026,SPEEDEE MART 115 LAS VEGAS NV        429452  01/29,-5.68,DEBIT_CARD,15639.26,
DEBIT,06/09/2025,SPEEDEE MART 115 LAS VEGAS NV        591918  06/06,-5.68,DEBIT_CARD,15083.41,
DEBIT,12/02/2024,ARCO#83941ASLE SERVICE SEATTLE WA    362861  11/29,-5.68,DEBIT_CARD,39823.82,
DEBIT,04/13/2026,CHEVRON 0373609 SEATTLE WA                   04/10,-5.77,DEBIT_CARD,12200.21,
DEBIT,10/17/2025,McDonalds 38459 LAS VEGAS NC                 10/15,-5.83,DEBIT_CARD,25421.65,
DEBIT,10/14/2025,TACO BELL 031915 LAS VEGAS NV                10/10,-5.83,DEBIT_CARD,26643.85,
DEBIT,07/07/2025,DAIRY QUEEN #15435 OLO olo.com NV            07/05,-5.84,DEBIT_CARD,18487.98,
DEBIT,04/13/2026,SHELL OIL13197076014 SEATTLE WA              04/11,-5.85,DEBIT_CARD,12190.86,
DEBIT,05/05/2025,CVS/PHARMACY #07 07291 KATY TX       505548  05/04,-5.93,DEBIT_CARD,50019.73,
DEBIT,09/05/2025,SMITHS FOOD #436 10600 LAS VEGAS NV  012218  09/04,-5.95,DEBIT_CARD,22308.82,
DEBIT,07/28/2025,SAFEWAY #1508 SEATTLE WA             032342  07/27,-5.96,DEBIT_CARD,19559.26,
DEBIT,02/02/2026,CIRCLE K # 09555 LAS VEGAS NV                01/29,-5.98,DEBIT_CARD,19729.99,
DEBIT,10/02/2025,SMITHS FOOD #436 10600 LAS VEGAS NV  849544  10/02,-5.98,DEBIT_CARD,24693.59,
DEBIT,07/24/2025,WAL-MART #2483 LAS VEGAS NV                  07/23,-5.98,DEBIT_CARD,19936.59,
DEBIT,06/08/2026,METROPOLIS PARKING METROPOLIS.IO TN          06/07,-5.99,DEBIT_CARD,18390.01,
DEBIT,04/20/2026,ORCA 8889886722 WA                           04/19,-6,DEBIT_CARD,9805.95,
DEBIT,04/07/2026,ORCA 8889886722 WA                           04/06,-6,DEBIT_CARD,9497.04,
DEBIT,02/09/2026,ORCA 8889886722 WA                           02/07,-6,DEBIT_CARD,15860.8,
DEBIT,12/26/2025,APPLE CASH SENT MONE 1INFINITELOOP CA        12/25,-6,DEBIT_CARD,11287.05,
DEBIT,08/28/2025,ORCA 8889886722 WA                           08/27,-6,DEBIT_CARD,19485.68,
DEBIT,08/25/2025,ORCA 8889886722 WA                           08/23,-6,DEBIT_CARD,20739.72,
DEBIT,08/04/2025,SQ *MASHALLAH STORE Federal Way WA           08/02,-6,DEBIT_CARD,22518.15,
DEBIT,01/26/2026,VOODOO DOUGHNUTS UNIVERSAL CIT CA            01/24,-6.04,DEBIT_CARD,13508.21,
DEBIT,09/29/2025,SAFEWAY #1508 SEATTLE WA                     09/26,-6.08,DEBIT_CARD,24210.73,
DEBIT,12/09/2024,SAFEWAY #1965 SEATTLE WA                     12/08,-6.09,DEBIT_CARD,43368.12,
DEBIT,06/09/2026,SAFEWAY #1993 SEATTLE WA                     06/08,-6.12,DEBIT_CARD,18250.74,
DEBIT,09/23/2025,SAFEWAY #1508 SEATTLE WA                     09/22,-6.21,DEBIT_CARD,22326.56,
DEBIT,08/18/2025,SAFEWAY #1508 SEATTLE WA                     08/16,-6.21,DEBIT_CARD,24419.3,
DEBIT,05/22/2025,TACO BELL 031915 LAS VEGAS NV                05/21,-6.24,DEBIT_CARD,11201.91,
DEBIT,03/30/2026,TST* LUNE CAFE PIONEER SEATTLE WA            03/30,-6.35,DEBIT_CARD,11363.24,
DEBIT,01/26/2026,ARCO 910405 BARSTOW CA               784985  01/24,-6.35,DEBIT_CARD,13406.8,
DEBIT,05/26/2026,SAFEWAY #1600 BELLEVUE WA                    05/23,-6.36,DEBIT_CARD,16701.22,
DEBIT,03/16/2026,SAFEWAY #1062 SEATTLE WA                     03/15,-6.4,DEBIT_CARD,11694.84,
DEBIT,04/06/2026,ARCO#82481BP ARCO AM P SEATTLE WA    172084  04/05,-6.43,DEBIT_CARD,9610.82,
DEBIT,01/15/2025,SPEEDEE MART 115 LAS VEGAS NV        737858  01/15,-6.47,DEBIT_CARD,39226.07,
DEBIT,07/02/2025,TACO BELL 031915 LAS VEGAS NV                07/01,-6.48,DEBIT_CARD,15872.56,
DEBIT,03/30/2026,SAFEWAY #1993 SEATTLE WA                     03/27,-6.49,DEBIT_CARD,11689.13,
DEBIT,08/11/2025,SAFEWAY #1508 SEATTLE WA                     08/08,-6.49,DEBIT_CARD,22307.98,
DEBIT,06/23/2025,SBARRO 557 614-7699884 NV                    06/21,-6.49,DEBIT_CARD,17387.69,
DEBIT,06/02/2025,SQ *PHIN SMITH Las Vegas NV                  06/01,-6.5,DEBIT_CARD,13283.23,
DEBIT,03/20/2025,SQ *PHIN SMITH Las Vegas NV                  03/19,-6.5,DEBIT_CARD,48504.52,
DEBIT,03/23/2026,ARCO#82481BP ARCO AM P SEATTLE WA    999287  03/20,-6.53,DEBIT_CARD,10807.92,
DEBIT,11/21/2024,BARTELL DRUG 06941 BURIEN WA                 11/20,-6.54,DEBIT_CARD,38099.77,
DEBIT,07/28/2025,Too Good To Go Inc. 178-76184541 DE          07/28,-6.6,DEBIT_CARD,19565.22,
DEBIT,11/27/2024,SAFEWAY #1965 SEATTLE WA                     11/26,-6.61,DEBIT_CARD,36708.4,
DEBIT,09/24/2025,WENDYS 1556 SEATTLE WA                       09/23,-6.62,DEBIT_CARD,21852.84,
DEBIT,06/02/2026,SAFEWAY #1993 SEATTLE WA                     06/01,-6.63,DEBIT_CARD,20679.06,
DEBIT,05/05/2025,ALDI 78001 KATY TX                   495008  05/03,-6.66,DEBIT_CARD,50104.6,
DEBIT,11/03/2025,SQ *FLAMINGO LOCATION Las Vegas NV           11/02,-6.69,DEBIT_CARD,26209.75,
DEBIT,01/06/2026,DAIRY QUEEN #15435 LAS VEGAS NV              01/05,-6.71,DEBIT_CARD,36336.61,
DEBIT,10/20/2025,DAIRY QUEEN #15435 LAS VEGAS NV              10/18,-6.71,DEBIT_CARD,25096.85,
DEBIT,06/02/2025,DAIRY QUEEN #15435 LAS VEGAS NV              05/31,-6.71,DEBIT_CARD,13393.07,
DEBIT,09/12/2025,SMITHS FOOD #4364 LAS VEGAS NV               09/10,-6.73,DEBIT_CARD,24609.37,
DEBIT,07/21/2025,SQ *PHIN SMITH COFFEE H Las Vegas NV         07/20,-6.77,DEBIT_CARD,20162.86,
DEBIT,01/06/2025,DOLLAR TREE LAS VEGAS NV             041980  01/05,-6.77,DEBIT_CARD,38526.57,
DEBIT,03/10/2025,SPEEDEE MART 115 LAS VEGAS NV        751389  03/07,-6.78,DEBIT_CARD,45475.81,
DEBIT,01/09/2026,TACO BELL 731915 702-645-8431 NV             01/08,-6.82,DEBIT_CARD,36307.55,
DEBIT,10/20/2025,Too Good To Go Inc. 178-76184541 DE          10/18,-6.86,DEBIT_CARD,25627.15,
DEBIT,01/06/2025,SMITHS FOOD #436 10600 LAS VEGAS NV  131465  01/04,-6.86,DEBIT_CARD,38533.34,
DEBIT,08/11/2025,WM SUPERCENTER #2483 800-925-6278 NV         08/09,-6.87,DEBIT_CARD,22193.38,
DEBIT,04/27/2026,CHEVRON 0373609 SEATTLE WA                   04/25,-6.88,DEBIT_CARD,11290.73,
DEBIT,04/09/2026,CHEVRON 0373609 SEATTLE WA                   04/09,-6.88,DEBIT_CARD,9418.29,
DEBIT,03/18/2026,DOLLARTREE SEATTLE WA                000932  03/18,-6.91,DEBIT_CARD,11392.31,
DEBIT,12/22/2025,SPEEDEE MART 115 LAS VEGAS NV        481627  12/20,-6.98,DEBIT_CARD,11359.62,
DEBIT,11/25/2025,MCDONALD'S F31454 LAS VEGAS NV               11/24,-6.98,DEBIT_CARD,13594.43,
DEBIT,08/25/2025,BOBA UP SEATTLE WA                           08/24,-6.99,DEBIT_CARD,20722.73,
DEBIT,08/11/2025,BOBA UP SEATTLE WA                           08/10,-6.99,DEBIT_CARD,22028.64,
DEBIT,11/28/2025,JACK IN THE BOX 7280 LAS VEGAS NV            11/27,-7.03,DEBIT_CARD,13011.72,
