Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,05/26/2026,"TST* HOUSTON HOT CHIC 206-823-2768 WA        05/25",-12.99,DEBIT_CARD,16671.80,,
DEBIT,05/26/2026,"CHIPOTLE 0469 BELLEVUE WA                    05/24",-16.43,DEBIT_CARD,16684.79,,
DEBIT,05/26/2026,"SAFEWAY #1600 BELLEVUE WA                    05/23",-6.36,DEBIT_CARD,16701.22,,
DEBIT,05/26/2026,"Zelle payment to NAZIRA JPM99ci4kzdl",-200.00,CHASE_TO_PARTNERFI,16707.58,,
DEBIT,05/26/2026,"INSOMNIA COOKIES-UNIV 877-866-6654 WA        05/23",-21.71,DEBIT_CARD,16907.58,,
DEBIT,05/26/2026,"ALADDINGYRO ALADDINGYRO.C WA                 05/23",-14.35,DEBIT_CARD,16929.29,,
DEBIT,05/26/2026,"SQ *BANANAS GRILL SEATTLE WA                 05/22",-26.22,DEBIT_CARD,16943.64,,
DEBIT,05/22/2026,"SAFEWAY #1993 SEATTLE WA                     05/21",-16.17,DEBIT_CARD,16969.86,,
CREDIT,05/22/2026,"BROOKS SPORTS IN PAYROLL                    PPD ID: 9111111101",2824.40,ACH_CREDIT,16986.03,,
DEBIT,05/21/2026,"Zelle payment to Bilal JPM99chvgbid",-10.00,CHASE_TO_PARTNERFI,14161.63,,
DEBIT,05/21/2026,"CHIPOTLE MEX GR ONLI NEWPORT BEACH CA677638  05/21",-11.72,DEBIT_CARD,14171.63,,
DEBIT,05/21/2026,"SAFEWAY FUEL1508 SEATTLE WA                  05/20",-70.17,DEBIT_CARD,14183.35,,
DEBIT,05/21/2026,"YARD HOUSE ZK 0108343 SEATTLE WA             05/20",-32.53,DEBIT_CARD,14253.52,,
DEBIT,05/18/2026,"SHAWARMA SHACK SEATTLE WA                    05/17",-38.03,DEBIT_CARD,14286.05,,
DEBIT,05/18/2026,"MADRONA GROCERY OUTLET SEATTLE WA    311486  05/16",-18.24,DEBIT_CARD,14324.08,,
DEBIT,05/18/2026,"AMZ*lojgyhywn mariners Stamford CT           05/15",-27.62,DEBIT_CARD,14342.32,,
DEBIT,05/15/2026,"SEATGEEK TICKETS SEATGEEK.COM NY             05/15",-65.76,DEBIT_CARD,14369.94,,
CREDIT,05/15/2026,"362507 ATLAS PRO PAYROLL                    PPD ID: 2364227403",679.31,ACH_CREDIT,14435.70,,
DEBIT,05/14/2026,"SAFEWAY #1993 SEATTLE WA                     05/13",-28.19,DEBIT_CARD,13756.39,,
CREDIT,05/14/2026,"ALLIED UNIVERSAL PAYROLL                    PPD ID: 2271562945",164.45,ACH_CREDIT,13784.58,,
DEBIT,05/13/2026,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-353.20,ACH_DEBIT,13620.13,,
DEBIT,05/13/2026,"SAFEWAY #1600 BELLEVUE WA                    05/12",-2.12,DEBIT_CARD,13973.33,,
DEBIT,05/13/2026,"CHIPOTLE 0469 BELLEVUE WA                    05/12",-11.69,DEBIT_CARD,13975.45,,
DEBIT,05/13/2026,"WAL-MART #2516 RENTON WA                     05/12",-91.40,DEBIT_CARD,13987.14,,
DEBIT,05/13/2026,"SAFEWAY FUEL1508 SEATTLE WA                  05/12",-48.27,DEBIT_CARD,14078.54,,
DEBIT,05/13/2026,"SAFEWAY #1508 SEATTLE WA                     05/12",-10.84,DEBIT_CARD,14126.81,,
DEBIT,05/12/2026,"DAVESHOTCHICKEN DAVESHOTCHICK WA             05/12",-39.71,DEBIT_CARD,14137.65,,
DEBIT,05/12/2026,"AMAZON MKTPL*BM84X14 Amzn.com/bill WA        05/12",-22.10,DEBIT_CARD,14177.36,,
DEBIT,05/11/2026,"PROG DIRECT INS  INS PREM                   PPD ID: 9409348062",-59.55,ACH_DEBIT,14199.46,,
DEBIT,05/11/2026,"FOB SUSHI BAR SEATTLE WA                     05/10",-20.14,DEBIT_CARD,14259.01,,
DEBIT,05/11/2026,"CTLP*CANTEEN VENDING S CHARLOTTE NC          05/10",-1.65,DEBIT_CARD,14279.15,,
DEBIT,05/11/2026,"CTLP*CANTEEN VENDING S CHARLOTTE NC          05/10",-1.75,DEBIT_CARD,14280.80,,
DEBIT,05/11/2026,"CHIPOTLE 0469 BELLEVUE WA                    05/10",-11.03,DEBIT_CARD,14282.55,,
DEBIT,05/11/2026,"SAFEWAY #1993 SEATTLE WA                     05/09",-13.10,DEBIT_CARD,14293.58,,
DEBIT,05/11/2026,"FOGO DE CHAO - SEATTLE SEATTLE WA            05/09",-140.62,DEBIT_CARD,14306.68,,
DEBIT,05/11/2026,"SDOT PAYBYPHONE PARKING 2066842489 WA        05/08",-5.50,DEBIT_CARD,14447.30,,
DEBIT,05/11/2026,"SDOT PAYBYPHONE PARKING 2066842489 WA        05/08",-5.50,DEBIT_CARD,14452.80,,
DEBIT,05/08/2026,"SHAWARMA SHACK SEATTLE WA                    05/07",-18.74,DEBIT_CARD,14458.30,,
DEBIT,05/08/2026,"ORCA*00R7QY9 2063985346 WA                   05/07",-3.00,DEBIT_CARD,14477.04,,
DEBIT,05/08/2026,"CTLP*CANTEEN VENDING S CHARLOTTE NC          05/07",-1.55,DEBIT_CARD,14480.04,,
DEBIT,05/08/2026,"CTLP*CANTEEN VENDING S CHARLOTTE NC          05/07",-1.65,DEBIT_CARD,14481.59,,
DEBIT,05/08/2026,"CTLP*CANTEEN VENDING S CHARLOTTE NC          05/07",-1.75,DEBIT_CARD,14483.24,,
DEBIT,05/08/2026,"CHIPOTLE 2228 SEATTLE WA                     05/06",-10.41,DEBIT_CARD,14484.99,,
DEBIT,05/08/2026,"CHIPOTLE 2228 SEATTLE WA                     05/06",-0.09,DEBIT_CARD,14495.40,,
CREDIT,05/08/2026,"BROOKS SPORTS IN PAYROLL                    PPD ID: 9111111101",2824.40,ACH_CREDIT,14495.49,,
CREDIT,05/07/2026,"ALLIED UNIVERSAL PAYROLL                    PPD ID: 2271562945",900.01,ACH_CREDIT,11671.09,,
DEBIT,05/06/2026,"WA DEPT HEALTH   ONLINEORDR 9a0d3cd6d861bdc WEB ID: 1911444603",-100.00,ACH_DEBIT,10771.08,,
DEBIT,05/06/2026,"CHIPOTLE 0469 BELLEVUE WA                    05/05",-11.03,DEBIT_CARD,10871.08,,
DEBIT,05/06/2026,"QUICK PACK FOOD MART SEATTLE WA              05/05",-10.41,DEBIT_CARD,10882.11,,
DEBIT,05/05/2026,"SEATTLE CITY LIGHT 800-950-1292 WA           05/04",-66.23,DEBIT_CARD,10892.52,,
DEBIT,05/04/2026,"BILT PAYMENT     BILTRENT   14d388996dbf46c WEB ID: 9999918544",-417.98,MISC_DEBIT,10958.75,,
DEBIT,05/04/2026,"SQ *SAHARACAFE Tukwila WA                    05/03",-19.82,DEBIT_CARD,11376.73,,
DEBIT,05/04/2026,"ARCO#82941ARCO #07189 TUKWILA WA             05/03",-76.70,DEBIT_CARD,11396.55,,
DEBIT,05/04/2026,"ARCO#82941ARCO #07189 TUKWILA WA     685709  05/03",-8.79,DEBIT_CARD,11473.25,,
DEBIT,05/04/2026,"ALADDIN GYRO RESTAURANT SEATTLE WA           05/02",-17.53,DEBIT_CARD,11482.04,,
DEBIT,05/04/2026,"ALADDIN CHARBURGER SEATTLE WA                04/30",-12.13,DEBIT_CARD,11499.57,,
DEBIT,05/01/2026,"Online Transfer to CHK ...5174 transaction#: 29056615668 05/01",-3511.00,ACCT_XFER,11511.70,,
DEBIT,05/01/2026,"Zelle payment to NAZIRA JPM99cf2zixs",-200.00,CHASE_TO_PARTNERFI,15022.70,,
DEBIT,05/01/2026,"Zelle payment to Bilal JPM99cf9qsqw",-10.00,CHASE_TO_PARTNERFI,15222.70,,
DEBIT,05/01/2026,"BOBA UP SEATTLE WA                           05/01",-14.00,DEBIT_CARD,15232.70,,
DEBIT,05/01/2026,"CTLP*CANTEEN VENDING S CHARLOTTE NC          04/30",-1.65,DEBIT_CARD,15246.70,,
DEBIT,05/01/2026,"CTLP*CANTEEN VENDING S CHARLOTTE NC          04/30",-1.55,DEBIT_CARD,15248.35,,
DEBIT,05/01/2026,"CTLP*CANTEEN VENDING S CHARLOTTE NC          04/30",-1.75,DEBIT_CARD,15249.90,,
DEBIT,05/01/2026,"CTLP*CANTEEN VENDING S CHARLOTTE NC          04/30",-1.65,DEBIT_CARD,15251.65,,
CREDIT,05/01/2026,"KCHA SECTION 8   CONS PAY                   PPD ID: 9112331001",3511.00,ACH_CREDIT,15253.30,,
DEBIT,04/30/2026,"COSTCO WHSE #0001 SEATTLE WA         189226  04/30",-122.30,DEBIT_CARD,11742.30,,
DEBIT,04/30/2026,"CTLP*CANTEEN VENDING S CHARLOTTE NC          04/29",-1.65,DEBIT_CARD,11864.60,,
DEBIT,04/30/2026,"CTLP*CANTEEN VENDING S CHARLOTTE NC          04/29",-1.65,DEBIT_CARD,11866.25,,
DEBIT,04/30/2026,"CTLP*CANTEEN VENDING S CHARLOTTE NC          04/29",-1.75,DEBIT_CARD,11867.90,,
CREDIT,04/30/2026,"ALLIED UNIVERSAL PAYROLL                    PPD ID: 2271562945",894.24,ACH_CREDIT,11869.65,,
DEBIT,04/29/2026,"EZELLS FAMOUS CHICKEN S SEATTLE WA           04/28",-7.26,DEBIT_CARD,10975.41,,
DEBIT,04/29/2026,"SAFEWAY #1993 SEATTLE WA                     04/28",-22.42,DEBIT_CARD,10982.67,,
DEBIT,04/27/2026,"T-MOBILE         PCS SVC    9813636         WEB ID: 0000450304",-272.24,ACH_DEBIT,11005.09,,
DEBIT,04/27/2026,"SAFEWAY #1993 SEATTLE WA                     04/26",-5.13,DEBIT_CARD,11277.33,,
DEBIT,04/27/2026,"JACK IN THE BOX 8481 425-285-9106 WA         04/27",-8.27,DEBIT_CARD,11282.46,,
DEBIT,04/27/2026,"CHEVRON 0373609 SEATTLE WA                   04/25",-6.88,DEBIT_CARD,11290.73,,
DEBIT,04/27/2026,"DOMINO'S 7145 206-926-4191 WA                04/24",-19.84,DEBIT_CARD,11297.61,,
DEBIT,04/27/2026,"QUICK PACK FOOD MART SEATTLE WA              04/24",-23.26,DEBIT_CARD,11317.45,,
DEBIT,04/27/2026,"SAFEWAY #1993 SEATTLE WA                     04/24",-21.67,DEBIT_CARD,11340.71,,
DEBIT,04/27/2026,"MINUTECLINIC #22615 RENTON WA                04/23",-54.00,DEBIT_CARD,11362.38,,
DEBIT,04/24/2026,"Zelle payment to Bilal JPM99cedfcqf",-10.00,CHASE_TO_PARTNERFI,11416.38,,
DEBIT,04/24/2026,"DAVES HOT CHICKEN 1205 SEATTLE WA            04/23",-38.26,DEBIT_CARD,11426.38,,
DEBIT,04/24/2026,"SAFEWAY #1993 SEATTLE WA                     04/23",-11.66,DEBIT_CARD,11464.64,,
DEBIT,04/24/2026,"SAFEWAY #1993SB SEATTLE WA                   04/23",-9.95,DEBIT_CARD,11476.30,,
DEBIT,04/24/2026,"SAFEWAY FUEL1508 SEATTLE WA                  04/23",-60.12,DEBIT_CARD,11486.25,,
DEBIT,04/24/2026,"CTLP*CANTEEN VENDING S CHARLOTTE NC          04/23",-1.55,DEBIT_CARD,11546.37,,
DEBIT,04/24/2026,"CTLP*CANTEEN VENDING S CHARLOTTE NC          04/23",-1.65,DEBIT_CARD,11547.92,,
DEBIT,04/24/2026,"CTLP*CANTEEN VENDING S CHARLOTTE NC          04/23",-4.30,DEBIT_CARD,11549.57,,
DEBIT,04/24/2026,"CTLP*CANTEEN VENDING S CHARLOTTE NC          04/23",-1.65,DEBIT_CARD,11553.87,,
DEBIT,04/24/2026,"CTLP*CANTEEN VENDING S CHARLOTTE NC          04/23",-1.75,DEBIT_CARD,11555.52,,
CREDIT,04/24/2026,"BROOKS SPORTS IN PAYROLL                    PPD ID: 9111111101",2824.39,ACH_CREDIT,11557.27,,
DEBIT,04/23/2026,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-1744.56,ACH_DEBIT,8732.88,,
DEBIT,04/23/2026,"SAFEWAY #1993 SEATTLE WA                     04/22",-32.91,DEBIT_CARD,10477.44,,
CREDIT,04/23/2026,"ALLIED UNIVERSAL PAYROLL                    PPD ID: 2271562945",830.99,ACH_CREDIT,10510.35,,
DEBIT,04/22/2026,"EZELLS FAMOUS CHICKEN S SEATTLE WA           04/22",-13.01,DEBIT_CARD,9679.36,,
DEBIT,04/22/2026,"CHIPOTLE 0578 SEATTLE WA                     04/21",-10.45,DEBIT_CARD,9692.37,,
DEBIT,04/22/2026,"DICK'S DRIVE IN QA SEATTLE WA                04/21",-9.07,DEBIT_CARD,9702.82,,
DEBIT,04/22/2026,"DICK'S DRIVE IN QA SEATTLE WA                04/21",-7.74,DEBIT_CARD,9711.89,,
DEBIT,04/21/2026,"ATM WITHDRAWAL                       002757  04/214501 UNIV",-40.00,ATM,9719.63,,
DEBIT,04/21/2026,"QUICK PACK FOOD MART SEATTLE WA              04/20",-13.21,DEBIT_CARD,9759.63,,
DEBIT,04/20/2026,"QFC #5881 500 MERCER S SEATTLE WA    832733  04/19",-15.40,DEBIT_CARD,9772.84,,
DEBIT,04/20/2026,"LIME*RIDE U4Z4 LI.ME CA                      04/19",-9.42,DEBIT_CARD,9788.24,,
DEBIT,04/20/2026,"DAILY DOZEN DOUGHNUT SEATTLE WA              04/19",-8.29,DEBIT_CARD,9797.66,,
DEBIT,04/20/2026,"ORCA 8889886722 WA                           04/19",-6.00,DEBIT_CARD,9805.95,,
DEBIT,04/20/2026,"CHEVRON 0373609 SEATTLE WA                   04/18",-9.68,DEBIT_CARD,9811.95,,
DEBIT,04/20/2026,"UW RECREATION IMA SEATTLE WA                 04/17",-14.00,DEBIT_CARD,9821.63,,
DEBIT,04/20/2026,"UNCLE IKES CAR WASH SEATTLE WA               04/16",-20.00,DEBIT_CARD,9835.63,,
DEBIT,04/17/2026,"DAVESHOTCHICKEN DAVESHOTCHICK WA             04/17",-16.53,DEBIT_CARD,9855.63,,
DEBIT,04/16/2026,"SAFEWAY #1993 SEATTLE WA                     04/15",-22.29,DEBIT_CARD,9872.16,,
DEBIT,04/16/2026,"AMAZON MKTPL*BS8CE0J Amzn.com/bill WA        04/16",-35.59,DEBIT_CARD,9894.45,,
DEBIT,04/16/2026,"AMAZON MKTPL*B734S7U Amzn.com/bill WA        04/16",-11.00,DEBIT_CARD,9930.04,,
DEBIT,04/16/2026,"SAFEWAY FUEL1508 SEATTLE WA                  04/15",-70.19,DEBIT_CARD,9941.04,,
DEBIT,04/16/2026,"AMAZON MKTPL*BS87P2N Amzn.com/bill WA        04/16",-22.75,DEBIT_CARD,10011.23,,
CREDIT,04/16/2026,"ALLIED UNIVERSAL PAYROLL                    PPD ID: 2271562945",421.72,ACH_CREDIT,10033.98,,
DEBIT,04/14/2026,"MADRONA GROCERY OUT SEATTLE WA               04/13",-14.08,DEBIT_CARD,9612.26,,
DEBIT,04/13/2026,"DOLLARTREE SEATTLE WA                062065  04/13",-38.28,DEBIT_CARD,9626.34,,
DEBIT,04/13/2026,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-1993.47,ACH_DEBIT,9664.62,,
DEBIT,04/13/2026,"Zelle payment to Fb JPM99ccye3tt",-75.00,CHASE_TO_PARTNERFI,11658.09,,
DEBIT,04/13/2026,"SP SUNNAHOUTFITTERS SUNNAHOUTFITT NV         04/13",-57.89,DEBIT_CARD,11733.09,,
DEBIT,04/13/2026,"GDP*BELLTOWN TOBACCO SEATTLE WA      176723  04/12",-3.50,DEBIT_CARD,11790.98,,
DEBIT,04/13/2026,"DAVESHOTCHICKEN DAVESHOTCHICK WA             04/11",-27.57,DEBIT_CARD,11794.48,,
DEBIT,04/13/2026,"CARPET LIQUIDATO SEATTLE WA          251701  04/11",-297.16,DEBIT_CARD,11822.05,,
DEBIT,04/13/2026,"COSTCO WHSE #0001 SEATTLE WA         974228  04/11",-71.65,DEBIT_CARD,12119.21,,
DEBIT,04/13/2026,"SHELL OIL13197076014 SEATTLE WA              04/11",-5.85,DEBIT_CARD,12190.86,,
DEBIT,04/13/2026,"SDOT PAYBYPHONE PARKING 2066842489 WA        04/10",-3.50,DEBIT_CARD,12196.71,,
DEBIT,04/13/2026,"CHEVRON 0373609 SEATTLE WA                   04/10",-5.77,DEBIT_CARD,12200.21,,
DEBIT,04/13/2026,"Amazon.com*BC9T47Q10 Amzn.com/bill WA        04/10",-36.71,DEBIT_CARD,12205.98,,
CREDIT,04/10/2026,"BROOKS SPORTS IN PAYROLL                    PPD ID: 9111111101",2824.40,ACH_CREDIT,12242.69,,
DEBIT,04/09/2026,"CHEVRON 0373609 SEATTLE WA                   04/09",-6.88,DEBIT_CARD,9418.29,,
DEBIT,04/09/2026,"AMAZON MKTPL*BC5VD9X Amzn.com/bill WA        04/09",-11.04,DEBIT_CARD,9425.17,,
DEBIT,04/09/2026,"ROSS STORES #1319 SEATTLE WA                 04/08",-75.14,DEBIT_CARD,9436.21,,
DEBIT,04/09/2026,"IDENTOGO - WA FINGER CCPROCESSING@ MA        04/08",-48.98,DEBIT_CARD,9511.35,,
DEBIT,04/09/2026,"SEATTLE MUNI INT #950 800-950-1292 WA        04/08",-97.60,DEBIT_CARD,9560.33,,
DEBIT,04/09/2026,"CTLP*CANTEEN VENDING S CHARLOTTE NC          04/08",-1.65,DEBIT_CARD,9657.93,,
DEBIT,04/09/2026,"CTLP*CANTEEN VENDING S CHARLOTTE NC          04/08",-1.75,DEBIT_CARD,9659.58,,
CREDIT,04/09/2026,"Online Transfer from CHK ...5669 transaction#: 28758285726",10.00,ACCT_XFER,9661.33,,
CREDIT,04/09/2026,"ALLIED UNIVERSAL PAYROLL                    PPD ID: 2271562945",272.47,ACH_CREDIT,9651.33,,
DEBIT,04/08/2026,"AMAZON MKTPL*BC86W8A Amzn.com/bill WA        04/08",-134.76,DEBIT_CARD,9378.86,,
DEBIT,04/08/2026,"TMOBILE POSTPAID WEB 800-937-8997 WA         04/07",-11.06,DEBIT_CARD,9513.62,,
DEBIT,04/08/2026,"SAFEWAY #1993 SEATTLE WA                     04/07",-52.85,DEBIT_CARD,9524.68,,
CREDIT,04/08/2026,"Online Transfer from CHK ...5669 transaction#: 28744651413",134.76,ACCT_XFER,9577.53,,
DEBIT,04/07/2026,"PARNELLS MINI MART SEATTLE WA                04/06",-4.18,DEBIT_CARD,9442.77,,
DEBIT,04/07/2026,"AMAZON MKTPL*B75ZG37 Amzn.com/bill WA        04/07",-50.09,DEBIT_CARD,9446.95,,
DEBIT,04/07/2026,"ORCA 8889886722 WA                           04/06",-6.00,DEBIT_CARD,9497.04,,
DEBIT,04/06/2026,"TIKTOK SHOP TIKTOK.COM CA                    04/06",-107.78,DEBIT_CARD,9503.04,,
DEBIT,04/06/2026,"ARCO#82481BP ARCO AM P SEATTLE WA    172084  04/05",-6.43,DEBIT_CARD,9610.82,,
DEBIT,04/06/2026,"TST*HALAL EATS FOOD HAL SEATAC WA            04/05",-24.27,DEBIT_CARD,9617.25,,
DEBIT,04/06/2026,"TST*HALAL EATS FOOD HAL SEATAC WA            04/05",-23.16,DEBIT_CARD,9641.52,,
DEBIT,04/06/2026,"SQ *COFFEEHOLIC HOUSE Seattle WA             04/05",-22.25,DEBIT_CARD,9664.68,,
DEBIT,04/06/2026,"WALGREENS STORE 2400 S SEATTLE WA    010239  04/04",-2.69,DEBIT_CARD,9686.93,,
DEBIT,04/03/2026,"Zelle payment to Bilal JPM99cbsp58p",-10.00,CHASE_TO_PARTNERFI,9689.62,,
DEBIT,04/03/2026,"BILT PAYMENT     BILTRENT   9a164a7d9f334c9 WEB ID: 9999918544",-553.88,MISC_DEBIT,9699.62,,
DEBIT,04/02/2026,"SAFEWAY FUEL1508 SEATTLE WA                  04/01",-71.09,DEBIT_CARD,10253.50,,
